names,x,y,custom_data,manual_label,correct_label,x2,y2,x3,y3,x4,y4,Area_pxl,AreaNoHole_Area_pxl,Solidity,Perimeter_pxl,ConvexPerimeter_pxl,Convexity,Max_ConvexityDef
frame_9_2017-09-22_06_00_04.648_617_1488.png,0.9335995,34.67268,1,xxxx,Acantharia_sp,0.1516,-18.3263,17.1019,3.6875,-11.2479,8.436,1479.5,1458.5,0.5081,351.119843,209.909805,0.59783,24.386719
frame_94_2017-09-16_09_58_07.899_1867_208.png,25.328316,-17.343037,2,xxxx,Acantharia_sp,17.3014,-9.3113,16.4618,-4.9831,2.3704,1.3991,1181.5,1181.5,0.71541,196.06601,151.485229,0.772624,13.410156
frame_426_2017-09-21_07_33_31.746_1920_370.png,29.725433,16.650507,3,xxxx,Amoeba,16.4618,-4.9831,0.1516,-18.3263,-7.67,-19.1876,1083.5,1083.5,0.372657,398.634552,229.992783,0.576951,29.671875
frame_9_2017-09-24_06_02_23.018_1609_23.png,-17.481684,20.676216,4,xxxx,Appendic_Unfoc,17.1019,3.6875,17.3014,-9.3113,-14.8074,19.9487,1338.5,1338.5,0.576071,246.5513,190.068344,0.770908,26.910156
frame_9_2017-09-18_15_52_23.938_254_539.png,-10.580127,0.7325355,5,xxxx,Appendic_Unfoc,-10.8235,3.9423,5.4364,8.7862,18.3756,6.6732,1154,1117.5,0.652555,249.82338,160.468246,0.642327,20.613281
frame_9_2017-09-16_19_07_44.613_656_1226.png,-16.901793,9.302485,6,xxxx,Appendic_Unfoc,-13.8694,5.2335,-18.7036,6.8454,16.6204,-0.9604,1093.5,1093.5,0.645323,237.865005,157.920471,0.663908,21.796875
frame_9_2017-09-21_13_29_38.934_651_523.png,-1.1357753,8.993697,7,xxxx,Appendic,-18.7036,6.8454,-18.8928,15.6208,8.8878,-8.6465,909.5,909.5,0.463439,239.036575,175.142746,0.732703,27.484375
frame_9_2017-09-16_03_58_45.702_1910_1453.png,-21.810059,-12.258289,8,xxxx,Appendic,5.4364,8.7862,-13.8694,5.2335,-16.6737,-14.8871,2143,2143,0.549065,467.906647,279.746368,0.597868,78
frame_95_2017-09-16_09_58_07.899_1591_1543.png,20.368908,-25.618021,9,xxxx,Asterionellopsis,-1.485,10.6484,-10.8235,3.9423,10.5001,-17.7447,1044,1044,0.391965,354.61731,235.549149,0.664235,20.144531
frame_92_2017-09-19_11_15_03.115_1439_1924.png,-38.487957,-6.3861065,10,xxxx,Asterionellopsis,-18.8928,15.6208,-1.485,10.6484,-0.0065,6.4944,1202.5,1145,0.668613,283.840607,265.222351,0.934406,6.347656
frame_90_2017-09-16_16_18_38.403_1880_784.png,6.7759662,0.8227033,11,xxxx,Acantharia_sp,-3.4522304,-18.2919915,9.0236479,7.8695533,17.9550396,-6.3820664,2177.5,2134.5,0.342012,711.854919,299.573029,0.420834,31.679688
frame_909_2017-09-21_00_52_54.823_1908_1957.png,16.7884835,-0.3945994,12,xxxx,Acantharia_sp,-5.2373774,-2.7189133,-12.5611823,5.9617448,7.3256473,0.1504646,1100,1100,0.517891,321.705627,171.763367,0.533915,15.574219
frame_8_2017-09-22_06_00_04.648_978_1326.png,18.1398924,13.7398546,13,xxxx,Acantharia_sp,-1.2786611,7.504071,-10.7667133,-6.055738,10.5188192,1.1448139,1202.5,1196.5,0.525126,354.776703,181.738281,0.512261,22.886719
